Focal Document Element,Focal Document Element Description,Rationale,Relationship,Reference Document Element,Reference Document Element Description,Fulfilled By (Y/N),Group Identifier (optional),Comments (optional),Strength of Relationship (optional)
WORKFORCE-3f,"Assigned cybersecurity responsibilities are managed to ensure adequacy and redundancy of coverage, including succession planning",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,6
WORKFORCE-4a,"Cybersecurity training is made available to personnel with assigned cybersecurity responsibilities, at least in an ad hoc manner",Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,7
WORKFORCE-4a,"Cybersecurity training is made available to personnel with assigned cybersecurity responsibilities, at least in an ad hoc manner",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,6
WORKFORCE-4b,"Cybersecurity knowledge, skill, and ability requirements and gaps are identified for both current and future operational needs, at least in an ad hoc manner",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,6
WORKFORCE-4c,"Identified cybersecurity knowledge, skill, and ability gaps are addressed through training, recruiting, and retention efforts",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,6
WORKFORCE-4d,Cybersecurity training is provided as a prerequisite to granting access to assets that are important to the delivery of the function,Semantic,intersects with,PR.AT-1,All users are informed and trained,N,,,4
WORKFORCE-4d,Cybersecurity training is provided as a prerequisite to granting access to assets that are important to the delivery of the function,Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,N,,,5
WORKFORCE-4d,Cybersecurity training is provided as a prerequisite to granting access to assets that are important to the delivery of the function,Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,6
WORKFORCE-4e,"The effectiveness of training programs is evaluated periodically, and improvements are made as appropriate",,not related to,,,N,,,0
WORKFORCE-4f,Training programs include continuing education and professional development opportunities for personnel with significant cybersecurity responsibilities,Semantic,intersects with,PR.AT-1,All users are informed and trained,N,,,5
WORKFORCE-4f,Training programs include continuing education and professional development opportunities for personnel with significant cybersecurity responsibilities,Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,6
WORKFORCE-5a,"Documented procedures are established, followed, and maintained for activities in the WORKFORCE domain",Functional,intersects with,PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",N,,,7
WORKFORCE-5b,"Adequate resources (people, funding, and tools) are provided to support activities in the WORKFORCE domain",,not related to,,,N,,,0
WORKFORCE-5c,Up-to-date policies or other organizational directives define requirements for activities in the WORKFORCE domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
WORKFORCE-5c,Up-to-date policies or other organizational directives define requirements for activities in the WORKFORCE domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Y,WORKFORCE-5d:G1,,5
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,Y,WORKFORCE-5d:G1,,4
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Semantic,intersects with,ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,Y,WORKFORCE-5d:G1,,7
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",Y,WORKFORCE-5d:G1,,4
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Semantic,intersects with,PR.AT-2,Privileged users understand their roles and responsibilities,Y,WORKFORCE-5d:G1,,7
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Functional,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",Y,WORKFORCE-5d:G1,,7
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Functional,intersects with,PR.AT-4,Senior executives understand their roles and responsibilities,Y,WORKFORCE-5d:G1,,7
WORKFORCE-5d,"Responsibility, accountability, and authority for the performance of activities in the WORKFORCE domain are assigned to personnel",Functional,intersects with,PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities,Y,WORKFORCE-5d:G1,,7
WORKFORCE-5e,Personnel performing activities in the WORKFORCE domain have the skills and knowledge needed to perform their assigned responsibilities,Semantic,subset of,PR.AT-1,All users are informed and trained,Y,,,5
WORKFORCE-5f,The effectiveness of activities in the WORKFORCE domain is evaluated and tracked,Functional,intersects with,PR.IP-7,Protection processes are improved,N,,,4
ARCHITECTURE-1a,"The organization has a strategy for cybersecurity architecture, which may be developed and managed in an ad hoc manner",,not related to,,,N,,,0
ARCHITECTURE-1b,A strategy for cybersecurity architecture is established and maintained in alignment with the organization's cybersecurity program strategy (PROGRAM-1b) and enterprise architecture,,not related to,,,N,,,0
ARCHITECTURE-1c,A documented cybersecurity architecture is established and maintained that includes IT and OT systems and networks and aligns with system and asset categorization and prioritization,Functional,intersects with,ID.AM-3,Organizational communication and data flows are mapped,N,,,3
ARCHITECTURE-1c,A documented cybersecurity architecture is established and maintained that includes IT and OT systems and networks and aligns with system and asset categorization and prioritization,Functional,intersects with,DE.AE-1,A baseline of network operations and expected data flows for users and systems is established and managed,N,,,3
ARCHITECTURE-1d,Governance for cybersecurity architecture (such as an architecture review process) is established and maintained that includes provisions for periodic architectural reviews and an exceptions process,Functional,intersects with,ID.GV-4,Governance and risk management processes address cybersecurity risks,N,,,5
ARCHITECTURE-1e,Senior management sponsorship for the cybersecurity architecture program is visible and active,,not related to,,,N,,,0
ARCHITECTURE-1f,The cybersecurity architecture establishes and maintains cybersecurity requirements for the organization's assets,Functional,intersects with,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",N,,,4
ARCHITECTURE-1f,The cybersecurity architecture establishes and maintains cybersecurity requirements for the organization's assets,Functional,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,4
ARCHITECTURE-1g,Cybersecurity controls are selected and implemented to meet cybersecurity requirements,,not related to,,,N,,,0
ARCHITECTURE-1h,The cybersecurity architecture strategy and program are aligned with the organization's enterprise architecture strategy and program,,not related to,,,N,,,0
ARCHITECTURE-1i,"Conformance of the organization's systems and networks to the cybersecurity architecture is evaluated periodically and according to defined triggers, such as system changes and external events",,not related to,,,N,,,0
ARCHITECTURE-1j,The cybersecurity architecture is guided by the organization's risk analysis information (RISK-3d) and threat profile (THREAT-2e),Functional,intersects with,ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)",N,,,3
ARCHITECTURE-1k,The cybersecurity architecture addresses predefined states of operation (SITUATION-3g),,not related to,,,N,,,0
ARCHITECTURE-2a,"Network protections are implemented, at least in an ad hoc manner",Functional,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,2
ARCHITECTURE-2a,"Network protections are implemented, at least in an ad hoc manner",Functional,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,2
ARCHITECTURE-2a,"Network protections are implemented, at least in an ad hoc manner",Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,2
ARCHITECTURE-2b,"The organization's IT systems are separated from OT systems through segmentation, either through physical means or logical means, at least in an ad hoc manner",Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,6
ARCHITECTURE-2b,"The organization's IT systems are separated from OT systems through segmentation, either through physical means or logical means, at least in an ad hoc manner",Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,6
ARCHITECTURE-2c,"Network protections are defined and enforced for selected asset types according to asset risk and priority (for example, internal assets, perimeter assets, assets connected to the organization's Wi-Fi, cloud assets, remote access, and externally owned devices)",Semantic,intersects with,PR.AC-3,Remote access is managed,N,,,6
ARCHITECTURE-2c,"Network protections are defined and enforced for selected asset types according to asset risk and priority (for example, internal assets, perimeter assets, assets connected to the organization's Wi-Fi, cloud assets, remote access, and externally owned devices)",Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,4
ARCHITECTURE-2c,"Network protections are defined and enforced for selected asset types according to asset risk and priority (for example, internal assets, perimeter assets, assets connected to the organization's Wi-Fi, cloud assets, remote access, and externally owned devices)",Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,5
ARCHITECTURE-2d,Assets that are important to the delivery of the function are logically or physically segmented into distinct security zones based on asset cybersecurity requirements,Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,6
ARCHITECTURE-2d,Assets that are important to the delivery of the function are logically or physically segmented into distinct security zones based on asset cybersecurity requirements,Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,6
ARCHITECTURE-2e,Network protections incorporate the principles of least privilege and least functionality,Functional,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",N,,,5
ARCHITECTURE-2e,Network protections incorporate the principles of least privilege and least functionality,Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,6
ARCHITECTURE-2e,Network protections incorporate the principles of least privilege and least functionality,Semantic,intersects with,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,N,,,4
ARCHITECTURE-2e,Network protections incorporate the principles of least privilege and least functionality,Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,4
ARCHITECTURE-2f,"Network protections include monitoring, analysis, and control of network traffic for selected security zones (for example, firewalls, allowlisting, intrusion detection and prevention systems (IDPS))",Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,7
ARCHITECTURE-2f,"Network protections include monitoring, analysis, and control of network traffic for selected security zones (for example, firewalls, allowlisting, intrusion detection and prevention systems (IDPS))",Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,7
ARCHITECTURE-2f,"Network protections include monitoring, analysis, and control of network traffic for selected security zones (for example, firewalls, allowlisting, intrusion detection and prevention systems (IDPS))",Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,8
ARCHITECTURE-2f,"Network protections include monitoring, analysis, and control of network traffic for selected security zones (for example, firewalls, allowlisting, intrusion detection and prevention systems (IDPS))",Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,7
ARCHITECTURE-2g,"Web traffic and email are monitored, analyzed, and controlled (for example, malicious link blocking, suspicious download blocking, email authentication techniques, IP address blocking)",Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,7
ARCHITECTURE-2g,"Web traffic and email are monitored, analyzed, and controlled (for example, malicious link blocking, suspicious download blocking, email authentication techniques, IP address blocking)",Semantic,intersects with,DE.CM-1,The network is monitored to detect potential cybersecurity events,N,,,5
ARCHITECTURE-2g,"Web traffic and email are monitored, analyzed, and controlled (for example, malicious link blocking, suspicious download blocking, email authentication techniques, IP address blocking)",Semantic,intersects with,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,N,,,7
ARCHITECTURE-2h,All assets are segmented into distinct security zones based on cybersecurity requirements,Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,5
ARCHITECTURE-2h,All assets are segmented into distinct security zones based on cybersecurity requirements,Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,5
ARCHITECTURE-2i,"Separate networks are implemented, where warranted, that logically or physically segment assets into security zones with independent authentication",Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,4
ARCHITECTURE-2i,"Separate networks are implemented, where warranted, that logically or physically segment assets into security zones with independent authentication",Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,7
ARCHITECTURE-2j,OT systems are operationally independent from IT systems so that OT operations can be sustained during an outage of IT systems,Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,4
ARCHITECTURE-2j,OT systems are operationally independent from IT systems so that OT operations can be sustained during an outage of IT systems,Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,7
ARCHITECTURE-2k,"Device connections to the network are controlled to ensure that only authorized devices can connect (for example, network access control (NAC))",Semantic,intersects with,PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)",N,,,7
ARCHITECTURE-2k,"Device connections to the network are controlled to ensure that only authorized devices can connect (for example, network access control (NAC))",Semantic,intersects with,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",N,,,4
ARCHITECTURE-2k,"Device connections to the network are controlled to ensure that only authorized devices can connect (for example, network access control (NAC))",Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,7
ARCHITECTURE-2k,"Device connections to the network are controlled to ensure that only authorized devices can connect (for example, network access control (NAC))",Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,7
ARCHITECTURE-2l,The cybersecurity architecture enables the isolation of compromised assets,Semantic,intersects with,PR.PT-4,Communications and control networks are protected,N,,,7
ARCHITECTURE-2l,The cybersecurity architecture enables the isolation of compromised assets,Semantic,intersects with,RS.MI-1,Incidents are contained,N,,,6
ARCHITECTURE-3a,"Logical and physical access controls are implemented to protect assets that are important to the delivery of the function, where feasible, at least in an ad hoc manner",Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,5
ARCHITECTURE-3a,"Logical and physical access controls are implemented to protect assets that are important to the delivery of the function, where feasible, at least in an ad hoc manner",Semantic,intersects with,PR.AC-3,Remote access is managed,N,,,3
ARCHITECTURE-3a,"Logical and physical access controls are implemented to protect assets that are important to the delivery of the function, where feasible, at least in an ad hoc manner",Semantic,intersects with,PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)",N,,,5
ARCHITECTURE-3b,"Endpoint protections (such as secure configuration, security applications, and host monitoring) are implemented to protect assets that are important to the delivery of the function, where feasible, at least in an ad hoc manner",Semantic,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),Y,ARCHITECTURE-3b:G1,,5
ARCHITECTURE-3b,"Endpoint protections (such as secure configuration, security applications, and host monitoring) are implemented to protect assets that are important to the delivery of the function, where feasible, at least in an ad hoc manner",Semantic,intersects with,DE.CM-4,Malicious code is detected,Y,ARCHITECTURE-3b:G1,,5
ARCHITECTURE-3b,"Endpoint protections (such as secure configuration, security applications, and host monitoring) are implemented to protect assets that are important to the delivery of the function, where feasible, at least in an ad hoc manner",Semantic,intersects with,DE.CM-5,Unauthorized mobile code is detected,Y,ARCHITECTURE-3b:G1,,5
ARCHITECTURE-3b,"Endpoint protections (such as secure configuration, security applications, and host monitoring) are implemented to protect assets that are important to the delivery of the function, where feasible, at least in an ad hoc manner",Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",Y,ARCHITECTURE-3b:G1,,5
ARCHITECTURE-3c,"The principle of least privilege (for example, limiting administrative access for users and service accounts) is enforced",Semantic,intersects with,PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Y,ARCHITECTURE-3c:G1,,7
ARCHITECTURE-3c,"The principle of least privilege (for example, limiting administrative access for users and service accounts) is enforced",Semantic,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),Y,ARCHITECTURE-3c:G1,,7
ARCHITECTURE-3d,"The principle of least functionality (for example, limiting services, limiting applications, limiting ports, limiting connected devices) is enforced",Semantic,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),Y,ARCHITECTURE-3d:G1,,6
ARCHITECTURE-3d,"The principle of least functionality (for example, limiting services, limiting applications, limiting ports, limiting connected devices) is enforced",Semantic,subset of,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,Y,ARCHITECTURE-3d:G1,,8
ARCHITECTURE-3e,Secure configurations are established and maintained as part of the asset deployment process where feasible,Semantic,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),N,,,6
ARCHITECTURE-3e,Secure configurations are established and maintained as part of the asset deployment process where feasible,Semantic,intersects with,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,N,,,6
ARCHITECTURE-3f,"Security applications are required as an element of device configuration where feasible (for example, endpoint detection and response, host-based firewalls)",Functional,intersects with,DE.CM-4,Malicious code is detected,N,,,6
ARCHITECTURE-3g,"The use of removeable media is controlled (for example, limiting the use of USB devices, managing external hard drives)",Semantic,subset of,PR.PT-2,Removable media is protected and its use restricted according to policy,Y,ARCHITECTURE-3g:G1,,7
ARCHITECTURE-3g,"The use of removeable media is controlled (for example, limiting the use of USB devices, managing external hard drives)",Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",Y,ARCHITECTURE-3g:G1,,7
ARCHITECTURE-3h,Cybersecurity controls are implemented for all assets within the function either at the asset level or as compensating controls where asset-level controls are not feasible,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,2
ARCHITECTURE-3i,Maintenance and capacity management activities are performed for all assets within the function,Functional,intersects with,PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition",N,,,4
ARCHITECTURE-3i,Maintenance and capacity management activities are performed for all assets within the function,Semantic,superset of,PR.DS-4,Adequate capacity to ensure availability is maintained,N,,,7
ARCHITECTURE-3i,Maintenance and capacity management activities are performed for all assets within the function,Functional,intersects with,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",N,,,6
ARCHITECTURE-3i,Maintenance and capacity management activities are performed for all assets within the function,Functional,intersects with,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",N,,,4
ARCHITECTURE-3j,The physical operating environment is controlled to protect the operation of assets within the function,Semantic,intersects with,PR.AC-2,Physical access to assets is managed and protected,N,,,6
ARCHITECTURE-3j,The physical operating environment is controlled to protect the operation of assets within the function,Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,6
ARCHITECTURE-3j,The physical operating environment is controlled to protect the operation of assets within the function,Semantic,intersects with,PR.PT-1,"Audit/Log records are determined, documented, implemented, and reviewed in accordance with policy",N,,,3
ARCHITECTURE-3j,The physical operating environment is controlled to protect the operation of assets within the function,Semantic,intersects with,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,N,,,6
ARCHITECTURE-3j,The physical operating environment is controlled to protect the operation of assets within the function,Functional,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,7
ARCHITECTURE-3k,More rigorous cybersecurity controls are implemented for higher priority assets,,not related to,,,N,,,0
ARCHITECTURE-3l,Configuration of and changes to firmware are controlled throughout the asset lifecycle,Semantic,intersects with,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity",N,,,6
ARCHITECTURE-3l,Configuration of and changes to firmware are controlled throughout the asset lifecycle,Functional,intersects with,PR.IP-2,A System Development Life Cycle to manage systems is implemented,N,,,4
ARCHITECTURE-3l,Configuration of and changes to firmware are controlled throughout the asset lifecycle,Semantic,intersects with,PR.IP-3,Configuration change control processes are in place,N,,,6
ARCHITECTURE-3m,"Controls (such as allowlists, blocklists, and configuration settings) are implemented to prevent the execution of unauthorized code",Functional,intersects with,DE.CM-4,Malicious code is detected,N,,,5
ARCHITECTURE-3m,"Controls (such as allowlists, blocklists, and configuration settings) are implemented to prevent the execution of unauthorized code",Semantic,intersects with,DE.CM-5,Unauthorized mobile code is detected,N,,,5
ARCHITECTURE-3m,"Controls (such as allowlists, blocklists, and configuration settings) are implemented to prevent the execution of unauthorized code",Semantic,intersects with,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed",N,,,6
ARCHITECTURE-3m,"Controls (such as allowlists, blocklists, and configuration settings) are implemented to prevent the execution of unauthorized code",Functional,intersects with,PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,N,,,5
ARCHITECTURE-4a,Software developed in-house for deployment on higher priority assets is developed using secure software development practices,Semantic,intersects with,PR.DS-7,The development and testing environment(s) are separate from the production environment,N,,,5
ARCHITECTURE-4b,The selection of procured software for deployment on higher priority assets includes consideration of the vendor's secure software development practices,Semantic,intersects with,PR.DS-7,The development and testing environment(s) are separate from the production environment,N,,,5
ARCHITECTURE-4c,Secure software configurations are required as part of the software deployment process for both procured software and software developed in-house,Semantic,intersects with,PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),N,,,7
ARCHITECTURE-4d,All software developed in-house is developed using secure software development practices,Semantic,intersects with,PR.DS-7,The development and testing environment(s) are separate from the production environment,N,,,5
ARCHITECTURE-4d,All software developed in-house is developed using secure software development practices,Functional,intersects with,PR.IP-2,A System Development Life Cycle to manage systems is implemented,N,,,5
ARCHITECTURE-4e,The selection of all procured software includes consideration of the vendor's secure software development practices,Semantic,intersects with,PR.DS-7,The development and testing environment(s) are separate from the production environment,N,,,5
ARCHITECTURE-4f,The architecture review process evaluates the security of new and revised applications prior to deployment,,not related to,,,N,,,0
ARCHITECTURE-4g,The authenticity of all software and firmware is validated prior to deployment,Semantic,subset of,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity",Y,,,7
ARCHITECTURE-4h,"Security testing (for example, static testing, dynamic testing, fuzz testing, penetration testing) is performed for in-house-developed and in-house-tailored applications periodically and according to defined triggers, such as system changes and external events",,not related to,,,N,,,0
ARCHITECTURE-5a,"Sensitive data is protected at rest, at least in an ad hoc manner",Semantic,subset of,PR.DS-1,Data-at-rest is protected,Y,,,8
ARCHITECTURE-5a,"Sensitive data is protected at rest, at least in an ad hoc manner",Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,6
ARCHITECTURE-5b,All data at rest is protected for selected data categories,Semantic,subset of,PR.DS-1,Data-at-rest is protected,Y,,,8
ARCHITECTURE-5b,All data at rest is protected for selected data categories,Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,6
ARCHITECTURE-5c,All data in transit is protected for selected data categories,Semantic,subset of,PR.DS-2,Data-in-transit is protected,Y,,,8
ARCHITECTURE-5c,All data in transit is protected for selected data categories,Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,6
ARCHITECTURE-5d,Cryptographic controls are implemented for data at rest and data in transit for selected data categories,Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,6
ARCHITECTURE-5d,Cryptographic controls are implemented for data at rest and data in transit for selected data categories,Semantic,intersects with,PR.DS-2,Data-in-transit is protected,N,,,6
ARCHITECTURE-5d,Cryptographic controls are implemented for data at rest and data in transit for selected data categories,Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,7
ARCHITECTURE-5e,"Key management infrastructure (that is, key generation, key storage, key destruction, key update, and key revocation) is implemented to support cryptographic controls",Semantic,intersects with,PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities",N,,,4
ARCHITECTURE-5e,"Key management infrastructure (that is, key generation, key storage, key destruction, key update, and key revocation) is implemented to support cryptographic controls",Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,7
ARCHITECTURE-5e,"Key management infrastructure (that is, key generation, key storage, key destruction, key update, and key revocation) is implemented to support cryptographic controls",Semantic,intersects with,PR.DS-2,Data-in-transit is protected,N,,,7
ARCHITECTURE-5f,"Controls to restrict the exfiltration of data (for example, data loss prevention tools) are implemented",Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,7
ARCHITECTURE-5f,"Controls to restrict the exfiltration of data (for example, data loss prevention tools) are implemented",Semantic,intersects with,PR.DS-2,Data-in-transit is protected,N,,,7
ARCHITECTURE-5f,"Controls to restrict the exfiltration of data (for example, data loss prevention tools) are implemented",Semantic,equal,PR.DS-5,Protections against data leaks are implemented,Y,,,10
ARCHITECTURE-5g,The cybersecurity architecture includes protections (such as full disk encryption) for data that is stored on assets that may be lost or stolen,Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,6
ARCHITECTURE-5g,The cybersecurity architecture includes protections (such as full disk encryption) for data that is stored on assets that may be lost or stolen,Semantic,intersects with,PR.DS-2,Data-in-transit is protected,N,,,6
ARCHITECTURE-5g,The cybersecurity architecture includes protections (such as full disk encryption) for data that is stored on assets that may be lost or stolen,Semantic,intersects with,PR.DS-5,Protections against data leaks are implemented,N,,,7
ARCHITECTURE-5g,The cybersecurity architecture includes protections (such as full disk encryption) for data that is stored on assets that may be lost or stolen,Semantic,intersects with,PR.PT-2,Removable media is protected and its use restricted according to policy,N,,,6
ARCHITECTURE-5h,"The cybersecurity architecture includes protections against unauthorized changes to software, firmware, and data",Semantic,intersects with,PR.DS-1,Data-at-rest is protected,N,,,7
ARCHITECTURE-5h,"The cybersecurity architecture includes protections against unauthorized changes to software, firmware, and data",Semantic,intersects with,PR.DS-2,Data-in-transit is protected,N,,,7
ARCHITECTURE-5h,"The cybersecurity architecture includes protections against unauthorized changes to software, firmware, and data",Functional,intersects with,PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity",N,,,6
ARCHITECTURE-6a,"Documented procedures are established, followed, and maintained for activities in the ARCHITECTURE domain",,not related to,,,N,,,0
ARCHITECTURE-6b,"Adequate resources (people, funding, and tools) are provided to support activities in the ARCHITECTURE domain",,not related to,,,N,,,0
ARCHITECTURE-6c,Up-to-date policies or other organizational directives define requirements for activities in the ARCHITECTURE domain,Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,N,,,6
ARCHITECTURE-6c,Up-to-date policies or other organizational directives define requirements for activities in the ARCHITECTURE domain,Semantic,intersects with,ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",N,,,3
ARCHITECTURE-6c,Up-to-date policies or other organizational directives define requirements for activities in the ARCHITECTURE domain,Semantic,intersects with,PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,N,,,6
ARCHITECTURE-6c,Up-to-date policies or other organizational directives define requirements for activities in the ARCHITECTURE domain,Semantic,intersects with,PR.PT-2,Removable media is protected and its use restricted according to policy,N,,,5
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Semantic,intersects with,ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established",Y,ARCHITECTURE-6d:G1,,5
ARCHITECTURE-6d,"Responsibility, accountability, and authority for the performance of activities in the ARCHITECTURE domain are assigned to personnel",Semantic,intersects with,ID.GV-1,Organizational cybersecurity policy is established and communicated,Y,ARCHITECTURE-6d:G1,,4
